timestamp,hour,day,month,weekday,pm2_5,pm10,co,no2,so2,o3,aqi,previous_aqi,temperature,humidity,pressure,wind_speed
2026-07-23 15:00:00,15,23,7,3,20.65,21.45,405.43,2.98,1.6,112.65,69,69,,,,
2026-07-23 16:00:00,16,23,7,3,24.33,25.19,403.71,2.9,1.6,118.91,77,69,,,,
2026-07-23 17:00:00,17,23,7,3,25.05,25.96,393.33,3.11,1.54,120.61,78,77,,,,
2026-07-23 18:00:00,18,23,7,3,24.02,25.1,384.2,3.96,1.51,116.06,76,78,,,,
2026-07-23 19:00:00,19,23,7,3,23.04,24.42,383.96,5.19,1.57,108.08,74,76,,,,
2026-07-23 20:00:00,20,23,7,3,21.51,23.19,381.71,5.47,1.59,101.35,71,74,,,,
2026-07-23 21:00:00,21,23,7,3,21.47,23.65,407.11,7.21,1.51,89.04,71,71,,,,
2026-07-23 22:00:00,22,23,7,3,23.22,26.17,463.01,10.07,1.4,73.82,74,71,,,,
2026-07-23 23:00:00,23,23,7,3,24.77,28.51,511.67,12.3,1.27,62.01,78,74,,,,
2026-07-24 00:00:00,0,24,7,4,25.79,30.11,543.29,13.73,1.06,51.59,80,78,,,,
2026-07-24 01:00:00,1,24,7,4,26.81,31.62,566.21,14.33,0.9,43.08,82,80,,,,
2026-07-24 02:00:00,2,24,7,4,27.86,33.14,584.09,14.41,0.82,36.65,84,82,,,,
2026-07-24 03:00:00,3,24,7,4,29.09,34.64,597.26,14.38,0.78,31.82,87,84,,,,
2026-07-24 04:00:00,4,24,7,4,30.18,36.13,613.16,14.54,0.75,27.59,89,87,,,,
2026-07-24 05:00:00,5,24,7,4,31.09,37.6,627.72,15.06,0.77,24.02,91,89,,,,
2026-07-24 06:00:00,6,24,7,4,31.13,38.68,639.85,15.43,0.79,21.4,91,91,,,,
2026-07-24 07:00:00,7,24,7,4,30.5,39.06,673.89,14.28,0.84,20.37,90,91,,,,
2026-07-24 08:00:00,8,24,7,4,30.85,39.87,720.04,12.56,0.98,24.16,90,90,,,,
2026-07-24 09:00:00,9,24,7,4,21.1,27.35,409.75,5.24,2.56,75.44,70,90,,,,
2026-07-24 10:00:00,10,24,7,4,22.77,27.12,361.29,3.37,2.59,92.86,73,70,,,,
2026-07-24 11:00:00,11,24,7,4,26.33,29.62,352.69,2.58,2.24,103.65,81,73,,,,
2026-07-24 12:00:00,12,24,7,4,24.76,27.11,328.29,1.92,1.7,108.25,78,81,,,,
2026-07-24 13:00:00,13,24,7,4,21.65,23.42,304.59,1.54,1.24,108.78,71,78,,,,
2026-07-24 14:00:00,14,24,7,4,20.25,21.79,289.69,1.41,1.01,109.74,68,71,,,,
2026-07-24 15:00:00,15,24,7,4,18.92,20.45,278.8,1.39,0.9,110.94,65,68,,,,
2026-07-24 16:00:00,16,24,7,4,17.97,19.62,271.86,1.56,0.88,111.39,63,65,,,,
2026-07-24 17:00:00,17,24,7,4,17.33,19.21,270.24,2.01,0.92,111.41,62,63,,,,
2026-07-24 18:00:00,18,24,7,4,18.76,21.37,349.77,7.88,1.12,94.15,65,62,,,,
2026-07-24 19:00:00,19,24,7,4,21.69,25.44,481.13,16.96,1.34,68.59,71,65,,,,
2026-07-24 20:00:00,20,24,7,4,24.68,29.65,591.18,22.59,1.5,51.62,77,71,,,,
2026-07-24 21:00:00,21,24,7,4,27.32,33.31,671.34,26.04,1.64,41.05,83,77,,,,
2026-07-24 22:00:00,22,24,7,4,29.83,36.6,738.73,28.18,1.64,32.36,88,83,,,,
2026-07-24 23:00:00,23,24,7,4,32.02,39.24,792.24,29.6,1.55,24.87,93,88,,,,
2026-07-25 00:00:00,0,25,7,5,33.29,40.56,816.02,29.57,1.34,19.54,96,93,,,,
2026-07-25 01:00:00,1,25,7,5,33.76,40.98,820.02,27.97,1.11,16.91,97,96,,,,
2026-07-25 02:00:00,2,25,7,5,34.28,41.46,811.92,25.71,0.96,15.97,98,97,,,,
2026-07-25 03:00:00,3,25,7,5,34.9,42.01,794.29,23.34,0.89,16.57,99,98,,,,
2026-07-25 04:00:00,4,25,7,5,35.52,42.52,775.21,21.42,0.92,18.69,101,99,,,,
2026-07-25 05:00:00,5,25,7,5,35.88,42.68,754.76,19.81,0.99,22.89,102,101,,,,
2026-07-25 06:00:00,6,25,7,5,33.24,39.39,648.69,14.8,1.38,40.93,95,102,,,,
2026-07-25 07:00:00,7,25,7,5,33.07,38.63,617.3,12.84,1.85,47.54,95,95,,,,
2026-07-25 08:00:00,8,25,7,5,33.93,38.67,621.02,12.27,2.15,51.92,97,95,,,,
2026-07-25 09:00:00,9,25,7,5,32.12,35.33,520.27,7.78,2.42,76.14,93,97,,,,
2026-07-25 10:00:00,10,25,7,5,33.91,36.25,503.71,5.78,2.19,90.02,97,93,,,,
2026-07-25 11:00:00,11,25,7,5,36.57,38.54,514.57,4.46,1.81,101.87,104,97,,,,
2026-07-25 12:00:00,12,25,7,5,29.72,31.1,483.3,3.01,1.22,114.91,88,104,,,,
2026-07-25 13:00:00,13,25,7,5,29.62,30.86,495.59,3.04,1.03,113.94,88,88,,,,
2026-07-25 14:00:00,14,25,7,5,31.72,32.97,526.45,3.6,1.03,109.2,92,88,,,,
2026-07-25 15:00:00,15,25,7,5,32.56,33.89,545.18,4.13,1.05,104.62,94,92,,,,
2026-07-25 16:00:00,16,25,7,5,32.82,34.2,556.47,4.62,1.07,101.22,95,94,,,,
2026-07-25 17:00:00,17,25,7,5,32.92,34.31,564.68,5.31,1.07,98.27,95,95,,,,
2026-07-25 18:00:00,18,25,7,5,33.14,34.67,576.07,6.39,1.06,95.1,95,95,,,,
2026-07-25 19:00:00,19,25,7,5,32.95,34.68,586.35,7.42,1.06,89.53,95,95,,,,
2026-07-25 20:00:00,20,25,7,5,32.45,34.31,591.27,7.42,1.02,85.89,94,95,,,,
2026-07-25 21:00:00,21,25,7,5,32.65,34.73,594.96,7.29,0.99,81.55,94,94,,,,
2026-07-25 22:00:00,22,25,7,5,34.18,36.67,605.85,7.55,0.97,76.29,97,94,,,,
2026-07-25 23:00:00,23,25,7,5,34.97,37.74,609.99,7.7,0.92,72.03,99,97,,,,
2026-07-26 00:00:00,0,26,7,6,34.97,37.84,608.63,7.78,0.88,67.25,99,99,,,,
2026-07-26 01:00:00,1,26,7,6,34.8,37.71,609.23,7.72,0.89,62.66,99,99,,,,
2026-07-26 02:00:00,2,26,7,6,34.2,37.12,603.71,7.46,0.97,59.01,97,99,,,,
2026-07-26 03:00:00,3,26,7,6,33.26,36.18,596.89,7.26,1.04,55.8,95,97,,,,
2026-07-26 04:00:00,4,26,7,6,32.49,35.43,590.13,7.04,1.04,53.02,94,95,,,,
2026-07-26 05:00:00,5,26,7,6,32.06,35.05,584.02,6.9,1.02,50.6,93,94,,,,
2026-07-26 06:00:00,6,26,7,6,30.47,33.61,573.83,6.81,0.98,48.05,90,93,,,,
2026-07-26 07:00:00,7,26,7,6,28.17,31.74,570.45,6.98,1.0,47.23,85,90,,,,
2026-07-26 08:00:00,8,26,7,6,26.92,30.92,567.77,6.72,1.06,53.4,82,85,,,,
2026-07-26 09:00:00,9,26,7,6,24.97,28.86,499.45,4.74,1.26,76.94,78,82,,,,
2026-07-26 10:00:00,10,26,7,6,26.14,30.06,470.66,3.9,1.36,90.0,81,78,,,,
2026-07-26 11:00:00,11,26,7,6,28.11,32.11,459.91,3.59,1.42,97.76,85,81,,,,
2026-07-26 12:00:00,12,26,7,6,17.63,19.95,375.5,2.04,1.06,108.03,63,85,,,,
2026-07-26 13:00:00,13,26,7,6,12.58,14.14,330.62,1.38,0.74,110.28,52,63,,,,
2026-07-26 14:00:00,14,26,7,6,11.93,13.33,312.97,1.17,0.63,111.16,50,52,,,,
2026-07-26 15:00:00,15,26,7,6,11.41,12.81,300.99,1.08,0.59,112.48,48,50,,,,
2026-07-26 16:00:00,16,26,7,6,11.16,12.7,292.29,1.17,0.6,112.33,47,48,,,,
2026-07-26 17:00:00,17,26,7,6,11.05,12.82,288.91,1.47,0.63,112.17,46,47,,,,
2026-07-26 18:00:00,18,26,7,6,12.54,15.01,348.33,5.79,0.81,97.51,52,46,,,,
2026-07-26 19:00:00,19,26,7,6,15.0,18.52,446.33,12.57,1.03,75.65,57,52,,,,
2026-07-26 20:00:00,20,26,7,6,17.34,21.95,528.42,16.72,1.21,61.97,62,57,,,,
2026-07-26 21:00:00,21,26,7,6,19.83,25.5,588.65,19.05,1.33,53.64,67,62,,,,
2026-07-26 22:00:00,22,26,7,6,22.64,29.39,637.2,20.07,1.32,46.78,73,67,,,,
2026-07-26 23:00:00,23,26,7,6,24.66,32.57,668.5,20.21,1.19,41.4,77,73,,,,
2026-07-27 00:00:00,0,27,7,0,25.32,34.65,672.53,19.02,0.95,38.58,79,77,,,,
2026-07-27 01:00:00,1,27,7,0,26.22,37.36,671.64,17.63,0.83,36.45,81,79,,,,
2026-07-27 02:00:00,2,27,7,0,27.42,40.44,670.75,16.44,0.77,34.0,83,81,,,,
2026-07-27 03:00:00,3,27,7,0,28.19,43.1,665.74,15.47,0.77,32.04,85,83,,,,
2026-07-27 04:00:00,4,27,7,0,29.9,46.78,662.65,14.98,0.85,31.37,88,85,,,,
2026-07-27 05:00:00,5,27,7,0,32.23,50.94,665.59,15.19,1.0,31.42,93,88,,,,
2026-07-27 06:00:00,6,27,7,0,33.78,53.98,677.18,15.88,1.15,30.82,97,93,,,,
2026-07-27 07:00:00,7,27,7,0,34.09,55.88,707.38,15.58,1.19,30.3,97,97,,,,
2026-07-27 08:00:00,8,27,7,0,33.02,56.82,746.16,14.66,1.19,37.86,95,97,,,,
2026-07-27 09:00:00,9,27,7,0,19.75,37.21,394.19,3.79,1.19,108.96,67,95,,,,
2026-07-27 10:00:00,10,27,7,0,15.93,27.43,336.89,2.25,1.08,112.06,59,67,,,,
2026-07-27 11:00:00,11,27,7,0,14.27,23.67,319.34,1.83,0.95,111.23,56,59,,,,
2026-07-27 12:00:00,12,27,7,0,12.39,20.42,302.62,1.47,0.75,109.38,52,56,,,,
2026-07-27 13:00:00,13,27,7,0,10.75,17.86,286.06,1.19,0.55,105.86,45,52,,,,
2026-07-27 14:00:00,14,27,7,0,10.36,17.38,280.43,1.09,0.46,104.83,43,45,,,,
2026-07-27 15:00:00,15,27,7,0,10.86,18.51,281.92,1.08,0.43,106.05,45,43,,,,
2026-07-27 16:00:00,16,27,7,0,11.97,20.95,286.9,1.23,0.44,107.99,50,45,,,,
2026-07-27 17:00:00,17,27,7,0,13.14,23.88,295.48,1.58,0.47,109.79,53,50,,,,
2026-07-27 18:00:00,18,27,7,0,15.14,27.84,342.31,4.6,0.62,102.65,57,53,,,,
2026-07-27 19:00:00,19,27,7,0,18.07,33.19,419.55,9.46,0.84,88.21,64,57,,,,
2026-07-27 20:00:00,20,27,7,0,21.49,39.43,484.36,12.05,0.99,77.23,71,64,,,,
2026-07-27 21:00:00,21,27,7,0,24.9,44.92,531.42,13.26,1.06,68.98,78,71,,,,
2026-07-27 22:00:00,22,27,7,0,28.16,50.0,567.51,13.63,1.08,63.79,85,78,,,,
2026-07-27 23:00:00,23,27,7,0,30.75,54.52,583.82,13.46,1.03,60.78,90,85,,,,
2026-07-28 00:00:00,0,28,7,1,32.59,57.76,587.7,13.37,0.98,57.24,94,90,,,,
2026-07-28 01:00:00,1,28,7,1,34.77,60.16,611.37,14.4,1.08,51.75,99,94,,,,
2026-07-28 02:00:00,2,28,7,1,38.14,63.11,634.77,15.4,1.24,47.46,108,99,,,,
2026-07-28 03:00:00,3,28,7,1,41.2,65.75,656.06,16.17,1.41,44.01,115,108,,,,
2026-07-28 04:00:00,4,28,7,1,43.81,67.92,676.58,16.52,1.51,40.29,121,115,,,,
2026-07-28 05:00:00,5,28,7,1,45.89,69.11,703.14,16.67,1.47,34.77,127,121,,,,
2026-07-28 06:00:00,6,28,7,1,45.47,67.33,731.84,16.49,1.17,28.16,126,127,,,,
2026-07-28 07:00:00,7,28,7,1,43.63,64.3,781.82,15.65,1.13,25.84,121,126,,,,
2026-07-28 08:00:00,8,28,7,1,45.54,65.34,843.48,13.98,1.26,32.14,126,121,,,,
